state,fips2,latitude,longitude,name
AL,1,32.318231,-86.902298,Alabama
AK,2,63.588753,-154.493062,Alaska
AZ,4,34.048928,-111.093731,Arizona
AR,5,35.20105,-91.831833,Arkansas
CA,6,36.778261,-119.417932,California
CO,8,39.550051,-105.782067,Colorado
CT,9,41.603221,-73.087749,Connecticut
DE,10,38.910832,-75.52767,Delaware
DC,11,38.905985,-77.033418,District of Columbia
FL,12,27.664827,-81.515754,Florida
GA,13,32.157435,-82.907123,Georgia
HI,15,19.898682,-155.665857,Hawaii
ID,16,44.068202,-114.742041,Idaho
IL,17,40.633125,-89.398528,Illinois
IN,18,40.551217,-85.602364,Indiana
IA,19,41.878003,-93.097702,Iowa
KS,20,39.011902,-98.484246,Kansas
KY,21,37.839333,-84.270018,Kentucky
LA,22,31.244823,-92.145024,Louisiana
ME,23,45.253783,-69.445469,Maine
MD,24,39.045755,-76.641271,Maryland
MA,25,42.407211,-71.382437,Massachusetts
MI,26,44.314844,-85.602364,Michigan
MN,27,46.729553,-94.6859,Minnesota
MS,28,32.354668,-89.398528,Mississippi
MO,29,37.964253,-91.831833,Missouri
MT,30,46.879682,-110.362566,Montana
NE,31,41.492537,-99.901813,Nebraska
NV,32,38.80261,-116.419389,Nevada
NH,33,43.193852,-71.572395,New Hampshire
NJ,34,40.058324,-74.405661,New Jersey
NM,35,34.97273,-105.032363,New Mexico
NY,36,43.299428,-74.217933,New York
NC,37,35.759573,-79.0193,North Carolina
ND,38,47.551493,-101.002012,North Dakota
OH,39,40.417287,-82.907123,Ohio
OK,40,35.007752,-97.092877,Oklahoma
OR,41,43.804133,-120.554201,Oregon
PA,42,41.203322,-77.194525,Pennsylvania
RI,44,41.580095,-71.477429,Rhode Island
SC,45,33.836081,-81.163725,South Carolina
SD,46,43.969515,-99.901813,South Dakota
TN,47,35.517491,-86.580447,Tennessee
TX,48,31.968599,-99.901813,Texas
UT,49,39.32098,-111.093731,Utah
VT,50,44.558803,-72.577841,Vermont
VA,51,37.431573,-78.656894,Virginia
WA,53,47.751074,-120.740139,Washington
WV,54,38.597626,-80.454903,West Virginia
WI,55,43.78444,-88.787868,Wisconsin
WY,56,43.075968,-107.290284,Wyoming
